Specimen.ID,born,died,treatment,diet,weight
#93009,888,2127,control,control,19
#92582,655,1884,treated,treated,20
#91658,702,1922,treated,control,17
#93231,918,2074,control,control,17
#96465,890,2133,control,control,19
#98706,480,1682,treated,treated,15
#91120,642,1807,control,control,23
#94903,742,1947,treated,treated,19
#94387,697,1934,control,treated,17
#94506,500,1669,treated,treated,23
#95643,94,1245,treated,control,24
#93877,852,2069,control,treated,19
#91738,171,1325,control,treated,16
#95359,548,1723,control,treated,21
#94734,244,1422,control,control,15
#98504,530,1719,control,control,18
#95068,840,2024,control,control,15
#91374,353,1571,treated,control,17
#94769,457,1676,treated,control,19
#97959,807,2047,treated,treated,19
#94098,1011,2200,control,treated,22
#96478,855,2054,control,treated,15
#91570,906,2147,treated,control,15
#95190,546,1774,control,treated,18
#90776,951,2118,control,treated,18
#91556,403,1633,treated,treated,18
#90316,599,1774,control,control,20
#96368,339,1509,control,control,17
#92719,273,1481,treated,control,16
#99568,501,1694,control,control,18
#90364,195,1395,control,control,16
#90253,911,2090,control,treated,20
#93855,951,2136,control,treated,24
#96887,151,1378,treated,treated,17
#95990,784,1970,treated,treated,24
#90139,111,1271,control,control,18
#93100,591,1806,treated,treated,24
#91263,485,1677,control,treated,23
#95633,725,1969,treated,treated,24
#90135,108,1302,control,control,17
#92912,862,2058,control,treated,17
#93422,670,1841,treated,control,15
#95875,407,1579,control,treated,22
#92252,827,2064,control,treated,24
#96299,546,1726,control,control,18
#97239,307,1464,treated,treated,16
#93176,890,2065,treated,control,22
#97033,153,1333,control,control,16
#97139,720,1913,control,control,19
#93269,1072,2319,control,control,23
#90713,43,1227,control,control,23
#94933,60,1221,treated,treated,16
#99199,922,2159,treated,treated,18
#91909,663,1889,control,treated,22
#94052,1005,2160,treated,control,20
#91824,472,1711,treated,treated,20
#99798,124,1292,treated,treated,22
#92157,331,1552,treated,control,24
#92385,558,1770,control,control,18
#99743,1065,2241,control,control,21
#96259,639,1876,control,treated,19
#93755,537,1696,treated,treated,23
#95066,575,1785,control,treated,17
#96854,1049,2244,treated,treated,23
#97479,397,1625,control,treated,19
#93011,157,1349,treated,control,18
#90949,774,1978,control,control,16
#99137,699,1916,treated,treated,19
#99147,754,1915,control,treated,24
#93856,259,1482,control,treated,15
#98697,396,1581,treated,treated,22
#96599,120,1336,control,control,16
#94045,751,1939,control,treated,21
#95709,550,1782,control,control,15
#96539,474,1631,treated,treated,15
#94850,150,1388,treated,control,20
#97417,1033,2244,treated,control,15
#92946,770,1942,control,treated,20
#97813,10,1226,control,control,19
#90265,129,1351,treated,treated,18
#95667,747,1934,treated,treated,15
#93726,236,1457,control,treated,17
#96624,938,2109,control,treated,17
#98553,1038,2189,treated,treated,20
#90942,796,2022,control,treated,15
#92437,305,1464,control,treated,23
#92440,142,1315,control,control,20
#99200,243,1413,control,control,24
#96322,78,1250,control,treated,22
#94420,810,2046,treated,control,19
#93086,803,1988,control,control,16
#95865,120,1334,control,control,15
#90872,166,1348,control,control,18
#92328,1047,2260,treated,control,15
#98601,433,1608,control,control,18
#93426,547,1744,control,control,18
#90211,858,2015,treated,control,24
#98971,731,1891,treated,treated,18
#92995,631,1796,control,control,19
#94034,480,1649,control,treated,17
#92565,113,1263,control,control,18
#94785,801,2047,treated,treated,18
#95640,95,1276,treated,treated,17
#99587,334,1495,treated,treated,24
#95385,506,1715,control,treated,17
