Specimen.ID,born,died,treatment,diet,weight
#98840,353,1511,treated,control,23
#93034,276,1509,treated,treated,18
#99516,39,1260,control,treated,20
#96688,4,1207,treated,treated,15
#90315,307,1469,treated,control,20
#94120,1026,2246,treated,control,23
#98824,983,2169,control,control,15
#97156,584,1769,treated,control,22
#90968,302,1463,treated,control,22
#97372,957,2205,treated,control,20
#91494,832,1988,control,treated,21
#99901,889,2136,control,treated,16
#91616,586,1805,control,control,24
#95662,87,1267,control,control,20
#96979,773,2022,control,treated,22
#96049,159,1360,treated,control,18
#94544,390,1625,control,control,16
#93549,278,1522,treated,control,15
#99187,255,1448,control,treated,24
#96260,717,1877,treated,treated,15
#97143,619,1860,treated,treated,17
#92106,260,1466,treated,treated,20
#96921,647,1818,control,control,17
#98754,370,1611,control,treated,18
#92743,662,1830,treated,control,23
#90173,768,1921,treated,treated,22
#99587,1003,2228,treated,treated,19
#98143,949,2108,treated,treated,17
#98377,167,1400,treated,treated,21
#91613,990,2173,treated,treated,21
#99430,231,1441,control,treated,21
#93094,102,1345,control,treated,18
#92425,951,2180,treated,control,23
#98311,1021,2196,control,treated,21
#95547,436,1659,treated,control,18
#95555,484,1682,control,treated,18
#97851,166,1347,treated,control,24
#96473,598,1767,control,treated,19
#99195,22,1202,treated,control,22
#99832,914,2144,treated,treated,15
#92852,684,1847,treated,control,18
#94611,189,1347,control,treated,15
#93012,145,1299,treated,treated,18
#99926,245,1489,treated,control,22
#93766,1000,2179,treated,treated,21
#94390,622,1802,control,treated,21
#93124,642,1810,control,treated,21
#98380,561,1724,treated,control,19
#93808,9,1224,control,treated,23
#93337,1052,2271,treated,treated,18
#99505,296,1482,control,treated,18
#95244,593,1769,control,control,17
#99076,869,2099,treated,control,20
#96404,993,2156,treated,treated,16
#99758,374,1602,treated,control,16
#94430,497,1723,treated,control,18
#90116,673,1881,control,control,17
#97113,449,1689,treated,control,24
#95708,616,1860,control,treated,15
#91582,244,1457,treated,control,20
#97394,485,1680,control,control,21
#99256,703,1878,treated,control,20
#95421,1076,2232,treated,control,22
#98393,162,1402,control,control,20
#91606,677,1855,treated,control,23
#99774,263,1461,treated,treated,21
#97170,112,1337,control,treated,17
#92595,754,1946,treated,treated,20
#95031,1046,2291,treated,control,23
#94474,347,1529,control,control,22
#99475,192,1425,treated,control,20
#99814,861,2045,treated,control,15
#91227,353,1592,control,control,18
#93036,445,1690,treated,control,17
#90756,668,1852,treated,control,19
#97158,393,1577,control,treated,20
#99441,819,1998,control,control,22
#93794,96,1318,control,treated,15
#95057,459,1665,control,control,24
#96164,487,1720,control,control,18
#90266,1006,2246,control,treated,15
#98193,857,2047,treated,treated,16
#92312,626,1848,treated,control,21
#98412,239,1453,treated,treated,22
#98613,264,1452,control,control,21
#90426,370,1566,control,control,23
#97754,263,1417,treated,treated,22
#95373,233,1452,control,control,24
#92715,1021,2205,treated,control,22
#96651,361,1518,control,treated,16
#98891,266,1435,treated,control,19
#92024,869,2026,treated,treated,15
#91473,221,1402,control,treated,16
#96890,630,1802,control,treated,21
#97094,941,2173,control,control,24
#96616,743,1940,treated,treated,23
#96096,905,2126,control,treated,16
#91641,922,2128,control,treated,20
#95545,978,2149,treated,treated,16
#92649,139,1355,control,treated,20
#90135,614,1768,treated,control,20
#92267,188,1361,control,treated,22
#92926,116,1329,treated,control,17
#92215,990,2170,control,treated,18
#93913,883,2111,treated,treated,19
#92184,766,1949,control,control,19
#92352,77,1281,control,treated,15
#99794,343,1524,control,control,18
#90130,1022,2241,control,treated,17
#91127,956,2109,treated,treated,15
#95308,795,2035,control,control,21
#90905,904,2135,treated,control,21
#92905,223,1438,control,treated,17
#98339,715,1960,treated,control,21
#94393,114,1329,treated,treated,16
#92340,614,1838,treated,treated,24
#90693,104,1264,treated,treated,21
#90249,120,1316,control,control,17
#97361,833,2065,treated,control,15
#99686,528,1706,treated,treated,22
#97870,449,1684,treated,treated,23
#97006,1005,2246,treated,treated,22
#95122,917,2106,treated,control,24
#97520,664,1852,treated,control,17
#96211,45,1266,control,treated,21
#95587,321,1550,treated,treated,19
#96637,640,1888,control,treated,17
#96477,1064,2256,control,treated,21
#94653,322,1515,control,control,23
#95973,808,2040,treated,control,23
#93217,567,1718,control,control,18
#96913,522,1755,treated,control,24
#92214,996,2210,treated,control,20
#94593,1047,2225,control,control,24
#91719,731,1941,control,treated,21
#94534,558,1756,treated,treated,16
#99380,825,1984,treated,control,17
#99868,682,1910,control,treated,15
#91533,684,1924,treated,control,22
#96907,697,1881,treated,treated,21
#98296,982,2158,treated,control,20
#96301,1045,2227,treated,treated,17
#93074,862,2096,control,treated,17
#95698,705,1954,control,control,18
#97856,944,2098,control,treated,18
#96574,105,1280,control,control,18
#90732,174,1397,control,treated,23
#96335,248,1406,treated,treated,24
#96500,79,1246,control,treated,16
#93612,946,2129,treated,treated,18
#97922,189,1394,control,control,17
#94129,155,1322,control,treated,18
#96717,1020,2218,control,control,24
#96146,351,1527,treated,control,18
#95290,542,1746,treated,treated,21
#91078,751,1975,control,treated,24
#99633,82,1245,control,treated,16
#98465,449,1686,control,treated,22
#93500,931,2156,control,treated,19
#98448,284,1443,treated,treated,17
#96326,409,1596,control,control,24
#91720,555,1785,treated,treated,22
#99233,977,2168,control,control,17
#92475,331,1562,control,control,16
#95259,802,2019,treated,control,19
#94417,1005,2239,treated,control,17
#92935,880,2089,treated,treated,16
#90430,997,2242,treated,treated,16
#99561,175,1379,treated,control,15
#99830,283,1525,treated,control,18
#94087,436,1602,treated,control,22
#94281,603,1755,treated,control,22
#91767,658,1875,control,control,22
#93044,874,2062,control,control,16
#96003,436,1589,treated,treated,23
#96934,783,2002,treated,treated,17
#91349,1040,2285,control,treated,19
#91541,323,1538,control,treated,23
#92233,184,1413,treated,control,17
#99221,306,1465,treated,treated,16
#90231,415,1663,treated,treated,20
#95370,1053,2269,treated,control,22
#91361,135,1372,treated,treated,16
#94116,519,1766,control,treated,18
#99130,424,1669,control,treated,21
#97284,1088,2315,treated,control,22
#96747,10,1227,treated,control,20
#92296,748,1904,control,treated,15
#94038,1045,2221,treated,control,21
#93996,287,1525,treated,control,15
#98368,804,2008,control,control,21
#90352,109,1331,treated,treated,22
#96949,836,2038,treated,treated,18
#90012,169,1364,treated,control,21
#92715,587,1745,control,treated,15
#99620,692,1916,treated,treated,16
#94184,942,2120,treated,control,17
#98239,1021,2257,treated,treated,18
#95772,786,1996,control,treated,16
#99954,833,2008,treated,treated,21
#93631,447,1657,control,control,20
#99482,667,1856,control,control,16
#91800,870,2062,control,treated,23
#91201,424,1597,control,control,18
#97049,804,1993,treated,control,22
#95253,870,2077,treated,control,24
#91103,636,1791,treated,control,21
#92154,585,1782,control,treated,16
#91144,948,2197,treated,control,20
#97110,567,1719,control,control,17
#93447,714,1955,treated,control,20
#92271,22,1216,control,control,15
#93738,735,1897,control,control,20
#97854,654,1849,control,treated,20
#96187,218,1424,treated,treated,20
#93978,600,1842,control,treated,21
#93424,146,1311,treated,treated,19
#99523,399,1615,control,control,20
#92885,97,1253,control,treated,23
#92650,1066,2256,control,treated,19
#96202,1013,2200,control,control,17
#96367,430,1600,control,treated,22
#90757,633,1830,control,control,23
#90299,695,1933,treated,control,17
#90248,908,2088,control,treated,20
#93409,709,1923,control,control,15
#96778,226,1456,control,control,18
#99180,50,1218,control,control,20
#99904,738,1894,treated,control,18
#95376,193,1422,control,treated,16
#91341,549,1716,treated,control,17
#93193,1027,2241,control,treated,16
#95937,921,2073,treated,control,18
#95038,415,1568,treated,control,15
#99116,107,1270,control,treated,16
#91328,43,1243,control,treated,21
#93027,763,1990,treated,control,24
#94798,65,1291,treated,control,23
#93283,51,1243,treated,control,19
#95756,871,2093,treated,control,23
#93122,83,1234,control,treated,22
#99097,575,1793,treated,treated,17
#92381,481,1729,control,control,16
#95793,757,1970,control,control,17
#96183,287,1510,treated,control,23
#97048,65,1309,treated,treated,16
#92984,220,1384,control,treated,16
#99834,1071,2259,treated,control,23
#96126,603,1852,control,control,16
#92634,788,1998,control,control,16
#95480,829,2057,control,control,19
#97440,56,1241,control,treated,16
#97322,117,1356,treated,treated,17
