Specimen.ID,born,died,treatment,diet,weight
#98566,563,1772,treated,control,19
#99631,257,1408,treated,treated,19
#92216,82,1242,control,treated,24
#90981,331,1558,control,treated,16
#94372,1034,2243,control,treated,16
#93717,222,1381,treated,treated,23
#98939,630,1781,treated,treated,15
#92883,538,1703,treated,treated,19
#92202,42,1286,control,control,24
#93797,912,2093,control,control,17
#93874,693,1942,control,control,16
#93730,1081,2232,control,treated,20
#90819,112,1342,control,control,16
#93028,290,1509,treated,treated,16
#98954,429,1669,control,control,21
#91673,1062,2227,treated,treated,15
#95398,29,1214,treated,control,17
#94124,665,1816,treated,control,17
#98898,493,1732,treated,treated,24
#97005,545,1715,control,treated,18
#99346,831,2025,treated,treated,21
#99896,570,1743,treated,treated,24
#96888,46,1284,treated,control,22
#95600,538,1723,treated,treated,24
#97318,98,1265,control,control,15
#95428,722,1897,control,control,19
#98273,859,2098,control,treated,24
#95411,120,1335,control,treated,16
#90047,845,2052,treated,control,21
#95354,666,1913,treated,control,17
#95005,999,2205,control,control,23
#98404,85,1279,treated,control,19
#91093,739,1896,control,treated,22
#96887,698,1941,control,control,22
#96538,745,1923,treated,control,19
#92624,820,2063,treated,treated,24
#90843,253,1438,control,treated,18
#90953,934,2095,treated,treated,17
#98230,77,1270,treated,treated,21
#90323,537,1716,control,treated,24
#93150,210,1435,treated,control,19
#93844,484,1720,control,treated,19
#97266,546,1727,control,control,17
#90653,35,1218,treated,control,16
#94437,913,2080,control,control,17
#93784,892,2050,treated,control,20
#93437,935,2128,control,treated,24
#98563,849,2023,treated,treated,21
#94664,944,2180,control,treated,20
#97322,872,2114,control,treated,24
#92098,724,1953,control,treated,24
#99794,482,1640,treated,treated,15
#90399,951,2188,treated,control,19
#93682,864,2059,treated,control,20
#92988,7,1220,treated,treated,23
#97525,4,1167,treated,treated,17
#93213,152,1341,treated,treated,15
#91382,900,2093,treated,treated,16
#90606,686,1880,control,control,22
#98845,445,1691,treated,treated,17
#91370,120,1288,control,control,18
#92806,166,1383,treated,control,22
#98247,316,1487,treated,treated,15
#91309,170,1366,control,control,20
#92774,699,1854,treated,treated,20
#92168,315,1529,control,treated,18
#90414,283,1450,control,treated,18
#91067,596,1753,treated,control,24
#95018,1069,2249,treated,control,18
#98123,264,1440,treated,treated,21
#97693,417,1593,treated,treated,16
#90145,335,1555,control,treated,20
#92099,267,1435,control,treated,17
#94522,684,1842,control,control,16
#94147,1033,2200,control,treated,20
#96097,579,1796,control,treated,21
#97308,56,1276,control,treated,22
#99043,972,2194,treated,control,15
#90826,80,1231,treated,control,22
#97982,461,1676,treated,control,24
#92164,454,1677,treated,treated,20
#92874,212,1427,control,treated,17
#99779,794,2027,control,control,21
#90130,480,1690,control,treated,15
#93555,578,1791,treated,treated,19
#91314,1078,2277,treated,control,17
#95224,754,1974,treated,treated,17
#90174,995,2218,control,control,21
#91218,535,1699,control,treated,23
#94661,72,1321,control,treated,22
#90643,1080,2254,treated,control,24
#96708,210,1435,treated,treated,24
#96938,430,1584,treated,control,18
#99793,809,1993,treated,control,23
#97872,1063,2297,treated,control,15
#91898,474,1721,treated,control,17
#96619,243,1401,control,control,17
#99646,1033,2276,control,treated,21
#90619,850,2037,control,control,19
#99106,95,1275,treated,control,21
#91407,198,1443,treated,control,22
#92620,865,2048,control,treated,22
#93349,580,1763,treated,control,15
#91941,402,1598,treated,control,20
#93928,774,2020,treated,treated,21
#99735,262,1495,control,control,24
#97849,927,2099,control,treated,24
#97873,1084,2246,treated,treated,22
#94539,993,2186,treated,treated,23
#94169,198,1378,treated,treated,22
#91136,862,2055,control,treated,18
#93803,156,1388,treated,treated,24
#93537,836,2065,control,control,23
#93526,289,1507,treated,control,17
#92068,129,1311,control,treated,15
#91125,115,1313,control,treated,23
#91027,571,1754,control,treated,20
#94397,544,1710,treated,treated,22
#99659,959,2143,treated,control,23
#95771,887,2077,control,control,20
#96988,634,1861,control,treated,15
#95680,605,1824,treated,treated,16
#97779,629,1783,treated,control,21
#98958,8,1257,control,treated,24
#94958,635,1845,control,treated,20
#99905,260,1441,treated,control,23
#95729,945,2098,control,control,15
#92007,1086,2335,control,treated,15
#98341,239,1439,treated,control,17
#98784,990,2217,treated,treated,23
#92173,505,1688,treated,control,18
#95664,689,1879,control,control,16
#98412,908,2080,treated,control,21
#96894,1012,2206,treated,treated,21
#96853,1054,2208,control,control,23
#97911,742,1905,control,treated,16
#95677,157,1386,treated,treated,18
#90986,429,1629,control,control,22
#98932,1047,2257,control,treated,16
#93489,1069,2300,treated,treated,18
#96456,87,1315,control,control,20
#90430,117,1296,treated,control,19
#92384,646,1878,control,control,17
#94508,1049,2230,control,treated,15
#91032,50,1201,control,treated,20
#96219,75,1317,treated,control,23
#98116,1030,2193,treated,control,20
#93836,888,2072,control,control,22
#95547,652,1882,treated,control,17
#92733,441,1642,control,treated,24
#98573,307,1500,control,control,24
#93137,953,2166,control,treated,24
#98108,357,1557,control,treated,24
#98278,312,1529,treated,control,23
#97169,285,1436,control,treated,23
#96686,597,1815,control,control,15
#95436,885,2044,treated,treated,17
#99688,367,1597,treated,treated,19
#90765,1029,2247,control,control,16
#97829,630,1864,control,treated,22
#94696,882,2095,control,treated,16
#99018,489,1683,treated,treated,21
#96542,286,1467,control,treated,16
#91454,679,1904,treated,control,19
#97578,53,1278,control,control,20
#92587,343,1587,control,control,24
#90225,596,1807,treated,control,20
#93648,699,1945,treated,treated,18
#99622,429,1630,treated,treated,17
#97435,196,1361,treated,treated,15
#99239,112,1302,control,treated,15
#96302,1,1183,treated,treated,23
#94128,374,1539,control,treated,18
#90450,1078,2236,treated,control,17
#91914,740,1960,treated,treated,20
#95971,654,1834,treated,control,15
#95224,441,1657,control,treated,16
#98945,884,2097,control,control,18
#95313,936,2113,control,treated,17
#99692,814,2005,control,treated,21
#91518,1007,2182,control,treated,22
#94828,10,1248,treated,control,21
#97669,364,1515,treated,treated,16
#91368,79,1296,treated,treated,17
#96395,356,1553,control,treated,22
#95643,717,1927,control,treated,23
#91752,620,1800,treated,control,17
#95590,623,1790,treated,treated,16
#96302,8,1256,treated,control,15
#96523,477,1666,treated,control,17
#98943,662,1825,control,control,22
#95360,597,1827,treated,treated,22
#95440,270,1485,control,treated,17
#96436,798,1962,control,treated,18
#91247,655,1829,control,treated,17
#90464,1085,2285,treated,treated,24
#93077,502,1730,control,control,17
#99452,549,1755,treated,control,20
#97364,333,1571,treated,treated,17
#90823,1035,2284,treated,control,22
#97923,1081,2251,control,treated,15
#94900,290,1511,treated,control,21
#98442,485,1643,control,treated,19
#96251,606,1853,control,control,24
#97818,695,1915,control,treated,15
#98418,1053,2257,control,control,17
#95262,349,1581,treated,control,18
#99409,51,1282,control,control,20
#91138,12,1240,treated,control,21
#96450,337,1535,treated,control,16
#96751,987,2188,treated,treated,22
#98496,831,2050,control,treated,21
#99956,508,1724,treated,control,19
#93268,38,1283,treated,control,15
#92835,959,2165,control,treated,17
#91777,421,1575,treated,treated,24
#93991,597,1784,control,treated,22
#94219,958,2140,treated,treated,20
#99954,63,1232,control,treated,19
#98824,330,1483,control,treated,19
#96227,768,2005,control,treated,22
#90581,710,1920,control,control,21
#93636,1010,2255,treated,control,15
#90561,52,1266,control,treated,17
#91130,778,1932,treated,treated,17
#90640,312,1480,control,treated,21
#97225,1034,2231,control,treated,22
#91918,976,2177,control,treated,23
#90580,511,1711,control,control,16
#95089,488,1661,control,treated,17
#92647,804,1976,control,control,15
#91710,180,1414,treated,treated,22
#90775,134,1363,treated,control,17
#92686,12,1223,treated,treated,17
#99587,369,1560,treated,control,24
#91724,742,1925,control,treated,15
#98132,580,1810,treated,control,18
#94315,500,1706,treated,treated,23
#99381,415,1574,control,treated,22
#97298,836,2003,treated,treated,23
#96439,549,1766,control,control,15
#96666,793,2020,treated,control,18
#95730,296,1501,control,treated,17
#96669,703,1885,control,treated,18
#93108,655,1824,control,treated,17
#93809,860,2037,treated,treated,23
#96943,608,1833,treated,treated,18
#95502,1070,2275,treated,control,19
#91118,1037,2209,control,treated,19
#92861,298,1491,control,treated,15
#94476,529,1751,control,treated,18
#98226,458,1702,treated,treated,18
#99908,461,1689,control,treated,17
#93054,548,1763,control,treated,15
#98997,185,1413,treated,treated,17
#95585,994,2172,treated,control,15
#99456,657,1851,control,control,20
#98341,362,1533,control,treated,23
#97419,693,1900,treated,treated,15
#94910,284,1523,control,treated,15
#93284,388,1578,control,control,18
#96036,949,2145,treated,treated,24
#94242,649,1848,treated,treated,16
#98724,84,1270,control,control,17
#91760,58,1266,control,control,16
#99600,110,1262,control,treated,15
#91487,923,2093,control,treated,21
