Specimen.ID,born,died,treatment,diet,weight
#97323,1005,2249,treated,treated,22
#99318,784,2012,treated,treated,23
#99425,143,1307,treated,treated,20
#95670,1078,2245,control,control,17
#99691,757,1996,control,control,19
#91532,113,1276,treated,treated,23
#91583,1081,2269,control,control,17
#97823,313,1530,treated,treated,19
#90268,430,1648,control,treated,23
#92251,438,1603,treated,control,21
#97831,81,1232,treated,control,21
#94287,536,1751,treated,treated,15
#96153,334,1487,treated,control,20
#99512,585,1747,treated,treated,21
#90783,726,1889,control,control,17
#99397,634,1845,treated,control,19
#99471,624,1789,control,control,20
#90539,875,2025,treated,control,20
#99315,102,1266,treated,control,21
#95225,715,1900,control,control,22
#91933,333,1581,control,control,16
#96720,843,2066,control,control,15
#99748,374,1571,treated,treated,22
#92260,799,1952,control,control,19
#91625,963,2200,control,treated,17
#95543,785,1986,control,treated,19
#94870,602,1848,treated,treated,19
#97268,1,1229,control,control,21
#96458,337,1582,control,control,18
#92845,1067,2256,treated,control,18
#93582,255,1445,control,control,18
#99694,636,1832,control,control,24
#93826,285,1456,control,control,20
#94991,166,1387,control,treated,22
#92698,1009,2239,treated,control,17
#91205,382,1579,control,control,24
#98035,617,1821,treated,control,16
#91094,604,1835,treated,treated,16
#96667,560,1802,control,treated,24
#90726,376,1532,control,treated,21
#97180,620,1827,control,control,19
#95749,107,1317,control,treated,16
#94306,1051,2220,control,control,24
#94857,361,1598,control,treated,20
#91182,277,1518,control,treated,16
#90937,125,1362,control,control,15
#93913,1,1246,treated,control,24
#97200,299,1488,treated,treated,19
#91163,1058,2237,control,treated,23
#94016,184,1415,control,treated,23
#98465,692,1881,control,control,20
#99096,441,1672,treated,treated,18
#96547,101,1312,treated,treated,21
#96914,166,1388,treated,treated,17
#90081,33,1228,control,control,24
#99031,650,1833,control,control,15
#96724,62,1230,treated,treated,17
#98148,948,2152,treated,control,19
#96052,227,1435,treated,treated,23
#92082,718,1896,control,treated,17
#98864,113,1347,treated,treated,22
#92090,597,1773,treated,treated,17
#95360,750,1973,treated,control,22
#91006,110,1273,treated,control,20
#94443,710,1869,control,treated,22
#94369,785,1963,control,treated,17
#99875,114,1340,treated,control,21
#93985,791,1965,treated,treated,24
#97836,488,1703,treated,treated,19
#92181,351,1589,control,treated,17
#92298,518,1707,control,control,23
#99184,326,1492,treated,control,19
#91515,520,1678,control,treated,22
#97036,766,1943,control,treated,23
#91247,228,1400,control,treated,23
#90923,763,1978,control,control,22
#98691,860,2076,control,control,17
#92720,86,1249,control,control,17
#93821,976,2175,treated,control,21
#97739,641,1810,control,treated,18
#98509,808,1997,treated,control,17
#97433,138,1341,control,control,21
#94219,873,2048,control,control,15
#94340,548,1733,treated,treated,18
#96257,812,2026,treated,treated,22
#93414,1065,2311,treated,control,23
#99033,427,1629,control,treated,16
#97133,600,1841,control,control,20
#96358,690,1901,control,control,20
#90734,578,1779,treated,treated,19
#93467,330,1560,treated,treated,23
#92013,700,1943,treated,treated,15
#93843,825,2021,control,control,19
#97120,989,2159,control,treated,15
#92665,482,1723,treated,treated,23
#95164,916,2084,control,control,23
#92097,572,1763,control,treated,15
#95451,386,1576,treated,treated,22
#91498,625,1815,control,control,15
#98003,490,1659,treated,treated,21
#93807,361,1512,control,treated,19
#97783,344,1518,control,control,22
#96702,604,1803,control,control,21
#94605,431,1643,treated,treated,21
#99341,100,1309,treated,control,20
#90607,1008,2217,treated,control,15
#98664,558,1794,control,control,23
#95361,80,1238,treated,treated,20
#90836,1037,2236,control,treated,15
#98086,765,1981,treated,control,24
#93245,214,1394,treated,treated,21
#90369,357,1566,control,treated,19
#97735,875,2054,treated,control,19
#97081,318,1533,control,treated,22
#91404,468,1700,treated,control,18
#96507,159,1321,control,control,21
#95605,61,1267,treated,control,17
#91139,780,1996,control,treated,20
#99443,575,1822,treated,control,16
#95871,146,1322,treated,control,22
#94681,769,2010,control,control,23
#95824,905,2145,control,control,20
#94602,774,1934,treated,treated,22
#96757,1015,2243,treated,control,21
#96545,318,1550,control,treated,17
#90752,989,2157,treated,control,19
#97374,196,1361,treated,control,17
#90820,761,1951,control,control,16
#99341,736,1897,treated,control,21
#90908,826,2050,treated,control,23
#96318,250,1495,control,treated,23
#91129,276,1444,control,control,22
#97939,1022,2173,treated,treated,22
#97787,1060,2261,treated,treated,23
#91538,58,1283,control,treated,19
#93628,68,1231,control,treated,20
#99607,203,1354,treated,control,24
#95717,1019,2245,control,control,17
#91652,696,1896,control,treated,21
#92413,947,2180,treated,treated,20
#97131,970,2154,control,control,24
#90060,260,1441,treated,treated,23
#91477,995,2235,control,treated,24
#98073,912,2088,control,control,15
#97378,963,2118,treated,control,19
#94784,50,1241,control,treated,19
#99643,387,1583,control,control,18
#91577,393,1600,treated,control,21
#93764,734,1958,treated,treated,23
#90736,705,1940,control,control,23
#98636,170,1336,treated,treated,20
#91340,1040,2231,control,treated,17
#91246,942,2126,treated,control,19
#96905,1017,2176,treated,control,15
#98565,1030,2228,control,control,17
#95953,347,1553,treated,control,22
#96219,402,1568,treated,treated,18
#99248,607,1778,treated,control,18
#99418,11,1202,control,treated,23
#98108,997,2158,control,treated,15
#92997,714,1940,control,control,23
#92203,205,1399,treated,control,15
#95530,364,1593,treated,control,24
#91378,691,1901,control,treated,17
#90379,340,1562,control,treated,21
#99848,709,1865,treated,control,20
#90032,576,1765,treated,control,23
#92029,41,1224,control,control,22
#91005,611,1837,treated,treated,24
#93680,812,2029,control,treated,21
#98363,165,1352,treated,control,15
#93313,322,1566,treated,control,21
#93291,389,1625,control,control,19
#90212,756,1919,treated,control,24
#98790,593,1830,treated,treated,15
#98523,784,1989,control,control,21
#97732,936,2127,control,treated,22
#96149,258,1448,control,treated,15
#90160,743,1949,control,control,16
#90118,369,1559,treated,treated,21
#95774,878,2117,treated,control,18
#91559,813,1997,control,treated,22
#96950,267,1494,treated,control,24
#96731,93,1316,control,control,23
#96107,767,1957,treated,control,23
#94979,739,1966,control,treated,16
#97502,436,1614,control,treated,17
#96119,325,1552,treated,control,16
#94642,577,1772,treated,control,22
#94583,852,2003,treated,treated,24
#92313,513,1669,treated,control,22
#97739,1077,2292,treated,treated,24
#99760,406,1622,control,treated,15
#96900,167,1357,treated,treated,20
#96711,188,1415,treated,control,17
#92442,835,2070,control,control,22
#98305,1053,2216,treated,treated,24
#95626,792,2023,treated,treated,16
#92901,612,1821,control,treated,24
#92365,6,1159,treated,control,19
#95945,645,1814,treated,treated,15
#91047,847,2033,treated,treated,15
#92559,17,1190,treated,treated,21
#93903,3,1205,treated,control,18
#95546,485,1654,treated,control,16
#95377,16,1222,control,treated,21
#95651,156,1316,control,treated,15
#98569,142,1307,control,treated,23
#98898,441,1638,treated,control,22
#97441,900,2079,treated,treated,16
#98157,606,1762,control,treated,15
#93771,813,2060,treated,treated,24
#99296,889,2050,control,treated,18
#94227,833,2018,control,control,19
#98126,31,1228,control,control,18
#91826,1027,2264,control,control,22
#90056,334,1497,treated,control,18
#98635,198,1372,control,treated,18
#96728,1055,2270,control,treated,21
#96076,1046,2253,control,treated,20
#99178,655,1860,treated,treated,23
#91363,516,1683,control,control,21
#91678,579,1828,control,treated,15
#95614,673,1865,control,treated,19
#90191,237,1405,control,control,23
#99907,190,1349,control,control,15
#95984,680,1853,control,control,20
#99109,527,1754,treated,control,16
#94045,284,1507,control,treated,24
#98037,882,2117,treated,treated,15
#90241,317,1509,control,treated,22
#96554,933,2127,control,treated,22
#96211,197,1363,control,treated,22
#90208,235,1435,control,control,16
#97690,38,1269,control,control,17
#91201,286,1476,treated,control,22
#98094,99,1304,control,control,16
#98515,245,1467,treated,control,17
#96260,1035,2220,control,treated,20
#97122,498,1670,control,control,23
#99531,330,1516,control,treated,15
#92793,191,1370,treated,treated,15
#96524,120,1336,treated,treated,22
#98535,845,2054,control,control,21
#91809,971,2148,treated,treated,24
#94554,533,1736,control,control,18
#95939,449,1622,control,control,18
#99440,422,1613,control,treated,17
#90566,1008,2228,treated,control,23
#98329,436,1627,treated,treated,16
#93682,507,1715,treated,control,19
#92620,102,1261,control,treated,24
#95858,871,2064,treated,treated,17
#99082,810,1989,treated,treated,22
#96150,93,1292,control,control,19
#99105,655,1847,control,treated,17
#93112,499,1650,treated,control,21
#93521,723,1962,control,control,24
#92724,118,1312,treated,treated,21
#97901,489,1649,treated,treated,16
#92818,418,1666,control,control,22
#99240,1076,2305,control,control,20
#97837,1046,2208,treated,control,24
#93291,746,1984,treated,control,23
#99056,386,1543,control,treated,22
#93090,609,1771,control,treated,21
#92492,500,1725,treated,control,21
