Specimen.ID,born,died,treatment,diet,weight
#95054,1016,2246,treated,control,16
#93905,181,1381,treated,control,17
#96877,91,1331,treated,control,19
#91018,625,1851,treated,control,17
#93293,470,1677,control,control,17
#97695,615,1798,control,control,16
#99571,336,1535,treated,treated,22
#98499,945,2187,control,control,23
#90468,222,1463,treated,control,23
#99677,612,1812,treated,treated,21
#97771,1076,2229,control,treated,20
#92450,41,1260,control,treated,22
#93176,593,1825,treated,control,21
#95185,797,2030,treated,treated,24
#96203,1047,2287,treated,treated,22
#95871,286,1531,treated,treated,19
#95686,43,1271,treated,treated,18
#99737,231,1383,treated,treated,16
#96740,983,2137,treated,treated,16
#95721,306,1510,control,treated,20
#93214,698,1924,treated,control,18
#98977,178,1374,treated,control,16
#91419,157,1399,treated,treated,24
#96364,72,1293,treated,treated,16
#91259,544,1705,control,treated,15
#90131,329,1519,treated,control,16
#94545,145,1392,treated,treated,15
#95505,129,1376,control,treated,21
#92020,292,1494,control,control,24
#98104,1048,2229,control,control,24
#98244,53,1212,treated,control,23
#97159,353,1593,control,treated,21
#92666,516,1706,treated,control,17
#91642,706,1907,control,control,19
#92033,1035,2265,control,control,15
#95448,1030,2186,control,treated,21
#90691,564,1790,control,control,16
#99664,438,1589,treated,control,20
#92157,270,1420,control,treated,23
#97593,1048,2245,treated,control,17
#99563,826,1978,treated,treated,16
#96668,205,1366,treated,treated,15
#99485,450,1670,control,treated,20
#95634,150,1313,control,control,22
#95963,1083,2234,treated,control,18
#90495,724,1924,control,treated,15
#99782,573,1744,treated,control,22
#93772,1035,2284,control,treated,20
#94979,951,2119,treated,treated,19
#95675,871,2027,treated,treated,18
#99788,161,1337,treated,treated,19
#92707,812,1971,control,treated,17
#94452,538,1688,control,treated,19
#90382,271,1474,treated,control,16
#96813,602,1766,control,control,24
#90153,44,1255,treated,treated,16
#95232,976,2203,treated,control,23
#92993,936,2099,control,control,21
#94919,357,1554,control,treated,24
#92328,391,1575,treated,treated,16
#95414,1011,2202,control,treated,22
#94108,1073,2301,treated,treated,16
#94488,513,1715,treated,control,20
#98655,786,1964,control,treated,15
#95149,797,2004,treated,control,21
#91869,770,1989,treated,treated,20
#90388,188,1408,treated,treated,16
#99591,254,1493,treated,treated,21
#97613,449,1665,control,control,17
#97257,26,1258,control,treated,20
#99744,666,1879,control,treated,15
#98604,576,1749,control,control,17
#99126,252,1497,treated,control,16
#91698,458,1688,treated,control,21
#95701,1017,2216,control,treated,21
#95634,629,1812,control,treated,20
#91848,947,2109,control,treated,19
#94081,659,1873,control,treated,16
#91499,320,1494,treated,treated,19
#95925,732,1937,treated,treated,18
