Specimen.ID,born,died,treatment,diet,weight
#92262,101,1329,control,control,19
#93540,867,2033,treated,control,18
#98867,996,2242,treated,control,19
#98658,76,1317,treated,treated,18
#91422,1005,2221,treated,control,19
#93553,667,1825,treated,control,16
#91293,253,1403,treated,control,24
#97777,240,1445,treated,control,23
#94353,25,1268,control,control,20
#94649,770,1970,control,treated,16
#94904,23,1212,control,control,22
#95759,1076,2319,treated,treated,21
#91026,1090,2288,control,treated,19
#99507,548,1784,treated,control,17
#93979,292,1520,control,control,22
#98364,222,1397,control,treated,17
#94034,892,2061,control,treated,23
#93453,1013,2197,treated,control,22
#93457,291,1503,treated,control,16
#96756,783,1998,control,treated,18
#98558,890,2093,treated,control,23
#95099,0,1174,control,control,20
#98557,871,2102,treated,treated,20
#97667,66,1266,control,treated,24
#96852,924,2110,treated,treated,16
#91221,870,2059,control,control,15
#93253,755,1986,treated,treated,20
#91383,535,1711,control,treated,15
#98678,432,1642,treated,treated,19
#94938,550,1786,treated,treated,17
#99766,74,1306,control,treated,24
#98497,684,1882,control,treated,24
#98224,167,1318,treated,control,17
#92626,394,1560,control,control,21
#96877,198,1447,treated,treated,20
#97123,1046,2230,control,treated,19
#97767,981,2203,control,control,21
#97963,106,1264,control,control,18
#92354,405,1562,treated,control,22
#91666,983,2164,control,control,21
#96375,486,1673,treated,control,15
#93259,414,1606,treated,control,22
#94304,389,1637,control,control,15
#91222,125,1330,treated,control,21
#98950,512,1662,control,treated,24
#95270,439,1622,control,treated,20
#99683,771,2016,treated,treated,20
#91832,933,2151,treated,control,20
#97126,118,1308,control,control,16
#98646,906,2107,treated,control,15
#92665,939,2167,treated,control,24
#90173,793,2040,treated,treated,22
#93318,547,1785,treated,treated,16
#93963,571,1815,treated,treated,22
#97460,916,2118,treated,treated,17
#97221,936,2112,control,control,19
#93834,859,2060,treated,treated,17
#96858,1081,2288,treated,control,18
#95395,388,1612,treated,control,17
#96181,411,1584,treated,treated,20
#94758,1094,2281,control,control,24
#98916,269,1514,treated,treated,24
#98155,110,1337,treated,control,15
#98507,643,1831,treated,treated,16
#91796,361,1606,treated,treated,20
#91029,761,1914,treated,control,17
#91798,807,1978,control,control,19
#93256,970,2136,control,treated,15
#96607,1016,2190,control,control,20
#98454,310,1487,treated,control,23
#90255,418,1569,treated,treated,24
#95549,381,1629,control,control,16
#91841,788,1986,control,treated,16
#98497,559,1746,treated,treated,20
#97693,795,2012,control,control,21
#94480,948,2193,treated,control,16
#99163,855,2072,treated,control,18
#90276,946,2110,treated,control,15
#91636,802,1995,treated,control,20
#92193,1030,2240,control,treated,21
#99444,435,1613,control,control,21
#95008,947,2125,control,control,22
#96382,591,1745,control,treated,23
#99378,853,2097,control,control,19
#92135,1047,2290,treated,treated,21
#95587,444,1596,control,control,17
#96708,1077,2306,control,control,15
#98410,848,2080,treated,treated,19
#99596,215,1437,control,treated,20
#91103,709,1865,treated,treated,18
#96035,504,1662,control,control,23
#94657,973,2217,control,treated,17
#99607,648,1819,treated,control,20
#93175,430,1586,treated,control,15
#91788,958,2147,control,treated,23
#94607,215,1400,control,treated,17
#95987,669,1890,control,control,23
#99191,55,1287,control,control,16
#98230,615,1809,treated,treated,17
#96126,291,1516,control,treated,16
#90332,558,1788,control,control,23
#96855,237,1443,treated,treated,23
#95700,599,1749,treated,control,19
#90704,531,1760,control,treated,16
#98813,184,1430,control,control,23
#93053,613,1773,treated,control,19
#99534,77,1302,control,treated,21
#91564,581,1807,treated,treated,18
#94239,806,2032,treated,control,18
#99917,325,1558,control,control,17
#92480,1074,2226,control,treated,18
#98775,804,2028,treated,control,24
#93225,403,1588,control,treated,19
#91084,373,1552,control,control,23
#91116,447,1610,control,control,19
#93130,896,2118,treated,control,17
#97193,945,2105,treated,control,15
#90681,894,2061,treated,treated,24
#93019,322,1502,control,treated,15
#95586,648,1827,control,control,15
#92903,1074,2314,treated,treated,17
#95891,184,1399,treated,treated,20
#94781,543,1720,treated,control,22
#98726,600,1819,treated,control,20
#91614,1032,2224,control,treated,16
#98841,118,1335,treated,treated,21
#95810,421,1664,treated,treated,23
#90073,768,1974,treated,treated,22
#92170,366,1519,control,treated,20
#92219,1040,2202,treated,treated,21
#98695,829,2039,treated,control,15
#92571,638,1799,control,control,22
#96762,123,1353,treated,control,22
#91939,124,1313,treated,control,15
#93669,642,1805,control,treated,16
#95265,924,2140,treated,treated,18
#95121,1036,2207,control,control,16
#92722,776,1977,treated,control,20
#96010,568,1727,treated,treated,18
#99010,817,2054,control,treated,18
#95941,854,2025,treated,treated,16
#98025,159,1317,treated,treated,15
#98356,894,2055,treated,treated,17
#93008,463,1699,control,control,20
#96116,656,1810,treated,treated,19
#96432,492,1706,treated,control,21
#94398,1036,2187,treated,control,22
#92311,527,1715,treated,treated,15
#98100,109,1302,control,control,20
#90146,961,2201,treated,control,16
#95120,1070,2310,treated,treated,19
#95254,1048,2278,control,treated,21
#94601,605,1784,treated,treated,21
#93588,370,1604,treated,treated,18
#98032,310,1484,treated,treated,17
#98894,281,1529,control,treated,19
#92991,535,1753,treated,treated,16
#97232,840,2065,control,treated,18
#99214,813,2033,treated,control,22
#90802,164,1369,control,treated,22
#96069,889,2132,treated,control,21
#97638,147,1314,control,control,17
#92901,156,1356,treated,treated,16
#92213,992,2217,control,control,23
#97191,1064,2245,treated,control,23
#98560,103,1303,treated,treated,20
#91687,172,1412,treated,treated,22
#90558,66,1287,control,treated,21
#92086,712,1916,control,treated,23
#93543,953,2172,control,treated,19
#92086,24,1245,treated,treated,20
#99690,1045,2235,treated,treated,18
#98945,703,1868,control,treated,17
#92589,286,1532,treated,treated,18
#94841,943,2162,control,control,20
#96704,269,1480,control,control,24
#91258,827,1990,control,control,20
#98900,659,1847,treated,treated,22
#97762,509,1722,control,treated,24
#96070,85,1269,treated,treated,20
#95019,437,1643,control,treated,18
#96347,503,1691,control,treated,15
#98754,31,1220,control,treated,17
#92653,445,1619,control,control,21
#94405,1018,2169,treated,treated,22
#92869,369,1559,treated,control,15
#91233,400,1608,treated,treated,23
#95053,217,1381,treated,control,19
#92187,480,1679,treated,control,23
#91744,410,1618,control,treated,24
#98466,811,1994,control,treated,20
#98637,323,1484,control,control,21
#97340,514,1664,control,control,17
#90788,575,1752,treated,control,24
#90762,276,1506,control,treated,18
#90157,1042,2239,control,control,17
#95051,871,2038,treated,control,21
#90346,130,1336,control,control,16
#97933,81,1317,control,control,21
#99498,194,1362,control,treated,17
#92980,760,1927,control,control,16
#96915,381,1616,treated,control,19
#91747,136,1380,control,treated,21
#94372,336,1493,control,treated,16
#98447,64,1297,treated,treated,24
#98890,898,2108,control,treated,22
#98252,1042,2236,treated,treated,19
#96636,8,1207,treated,treated,17
#96165,538,1723,control,control,19
#97704,315,1478,control,control,15
#98131,713,1934,treated,treated,18
#91256,416,1589,control,control,23
#94394,726,1943,control,treated,18
#96093,203,1433,treated,treated,19
#90019,79,1241,control,treated,16
#94448,409,1612,control,control,20
#92298,1039,2259,control,control,23
#92847,832,2049,treated,control,16
#93967,1039,2214,treated,treated,17
#92041,431,1628,treated,control,22
#97441,951,2143,control,control,18
#93344,493,1701,treated,control,23
#97315,489,1659,control,control,19
#90996,466,1701,treated,treated,22
#94196,286,1493,control,treated,20
#90807,831,1987,treated,control,20
#90599,949,2153,control,control,19
#98314,392,1572,control,control,21
#94079,50,1278,treated,control,16
#99686,127,1355,treated,control,17
#90307,462,1679,treated,treated,17
#91602,345,1501,control,control,17
#93401,802,2028,control,treated,18
#97156,202,1421,control,treated,24
#91854,928,2131,control,control,16
#90215,44,1252,treated,control,16
#96682,24,1188,treated,treated,18
#95149,568,1754,control,treated,23
#91431,333,1532,treated,treated,18
#95679,499,1683,treated,control,23
#97870,277,1502,treated,control,18
#95115,638,1884,treated,control,16
#94008,666,1911,treated,control,21
#96451,35,1254,control,treated,19
#99130,704,1885,control,control,19
#93240,501,1712,control,control,17
#94294,811,2014,control,control,24
#93678,390,1639,control,control,15
#92309,512,1741,treated,treated,16
#90146,1048,2225,control,control,16
#93136,628,1831,treated,control,24
#93995,1030,2244,treated,treated,15
#92999,365,1540,treated,treated,22
#94762,1085,2250,treated,control,21
#95999,232,1416,control,control,23
#91354,542,1782,control,treated,20
#93498,223,1392,treated,treated,16
#96234,110,1346,control,treated,17
#91004,702,1934,treated,treated,20
#92985,571,1768,treated,treated,22
#93629,19,1239,control,treated,19
#95295,195,1409,treated,treated,20
#91621,641,1813,control,treated,24
#99153,768,1921,treated,treated,16
#91029,206,1432,control,control,19
#97823,59,1221,control,treated,16
#98266,367,1589,treated,treated,16
