Specimen.ID,born,died,treatment,diet,weight
#99295,1025,2253,treated,control,18
#93729,858,2106,control,control,16
#93738,309,1463,control,treated,18
#96621,21,1206,treated,control,19
#96243,360,1519,treated,treated,22
#95821,860,2014,control,treated,22
#91022,1027,2202,treated,control,22
#91170,913,2074,treated,treated,20
#92485,312,1541,treated,treated,21
#94557,419,1582,treated,control,24
#95774,134,1353,control,control,20
#95620,330,1547,treated,control,23
#99227,595,1820,treated,treated,15
#97476,878,2106,treated,treated,16
#96416,203,1409,treated,treated,22
#99448,838,2084,treated,control,22
#97874,340,1562,treated,control,16
#99634,327,1507,treated,treated,18
#91403,650,1806,treated,treated,21
#96803,0,1182,treated,control,23
#92163,188,1405,control,control,19
#91799,545,1736,control,treated,16
#91416,230,1446,treated,control,18
#94148,466,1704,treated,treated,17
#95338,771,1971,treated,control,19
#93563,5,1224,treated,control,19
#96962,928,2156,treated,treated,24
#94686,149,1319,control,control,17
#91691,168,1414,control,control,22
#92351,95,1256,control,treated,21
#92090,376,1607,control,control,17
#93906,332,1559,control,control,21
#94530,288,1473,control,treated,22
#99491,929,2172,control,control,18
#99217,552,1730,control,control,21
#98202,771,1963,treated,treated,22
#93547,533,1733,treated,control,20
#97717,3,1210,control,control,16
#91858,560,1767,treated,control,23
#97318,855,2047,control,control,16
#95139,23,1211,control,treated,16
#92232,129,1308,control,treated,19
#97466,687,1886,control,control,24
#94709,225,1381,control,control,20
#92453,16,1191,control,treated,21
#98463,594,1836,control,control,24
#96647,915,2139,control,treated,20
#98819,658,1873,control,treated,17
#91317,1087,2325,treated,treated,19
#96175,123,1278,treated,treated,19
#94081,413,1651,control,control,22
#99898,538,1776,treated,control,21
#98756,672,1885,treated,control,16
#90856,286,1462,treated,control,21
#97974,783,1943,control,treated,17
#95234,346,1507,treated,control,17
#99073,898,2142,treated,treated,20
#98666,93,1342,treated,treated,22
#96590,803,2035,treated,control,23
#98018,431,1618,treated,control,21
#96029,918,2077,treated,control,17
#92623,827,1988,treated,control,17
#91529,711,1949,treated,treated,21
#98431,895,2130,control,treated,22
#99439,36,1192,control,control,16
#91770,92,1269,control,control,19
#96572,566,1772,treated,control,22
#92329,507,1707,control,control,21
#93962,296,1483,control,control,15
#92330,488,1667,control,control,22
#94779,511,1700,treated,treated,18
#96519,908,2144,treated,control,19
#92552,109,1351,treated,control,16
#93173,864,2037,treated,control,17
#93493,706,1924,treated,control,23
#93993,365,1535,treated,control,18
#95513,746,1899,treated,treated,15
#90616,491,1737,control,control,20
#90989,399,1616,treated,treated,20
#95241,28,1207,control,treated,22
#95775,917,2121,treated,treated,19
#92196,156,1332,treated,treated,19
#99992,869,2071,control,control,19
#98127,1051,2265,treated,control,20
#98103,767,1920,treated,treated,18
#96937,813,1971,control,treated,22
#93126,195,1407,treated,treated,17
#99251,739,1950,treated,treated,23
#95692,870,2108,control,control,24
#98868,662,1909,control,control,21
#93841,849,2064,treated,control,16
#94027,701,1916,treated,control,16
#92643,369,1572,control,treated,22
#96327,152,1306,control,treated,16
#99474,681,1832,control,treated,20
#91709,80,1324,treated,control,22
#99959,201,1399,control,treated,17
#96735,440,1653,control,treated,19
#94589,714,1937,control,treated,18
#96051,716,1883,control,control,20
#95601,258,1412,control,control,21
#96423,311,1461,treated,treated,18
#92807,117,1341,treated,control,24
#97725,249,1475,treated,treated,21
#93623,45,1197,control,treated,23
#94193,990,2153,treated,control,18
#93209,401,1558,control,treated,23
#97250,1032,2189,treated,treated,20
#90735,403,1576,control,control,24
#96971,304,1458,treated,treated,21
#92350,278,1514,treated,treated,16
#93631,390,1568,control,treated,20
#99105,744,1966,control,control,21
#97021,995,2231,treated,control,18
#95997,30,1254,control,control,23
#95386,148,1375,control,control,22
#99570,886,2103,control,treated,24
#97252,867,2069,treated,treated,17
#98704,562,1766,treated,treated,19
#91052,587,1786,treated,control,23
#97516,728,1922,control,treated,22
#91860,381,1595,control,treated,19
#94904,667,1858,treated,control,18
#94597,914,2142,control,treated,15
#92883,1010,2218,control,treated,19
#90588,238,1428,control,treated,19
#93830,540,1703,control,treated,17
#97346,424,1636,treated,control,21
#94856,869,2025,treated,control,22
#97572,374,1554,treated,control,23
#99556,762,1939,treated,treated,19
#90027,1047,2223,treated,treated,20
#96322,276,1501,control,control,17
#95985,910,2120,treated,control,16
#90794,306,1489,treated,treated,21
#91332,1010,2242,treated,treated,24
#92143,232,1463,treated,control,18
#93807,1074,2286,treated,control,16
#90450,9,1197,treated,control,18
#91329,938,2184,control,control,24
#91169,623,1841,treated,treated,23
#90447,449,1674,control,control,15
#96252,324,1518,control,control,20
#95714,848,2036,treated,control,17
#90953,646,1817,treated,control,15
#96359,245,1462,control,control,20
#98881,1059,2267,treated,treated,17
#98122,1075,2236,control,control,16
#94930,891,2062,control,treated,21
#97950,476,1669,control,control,20
#97469,134,1365,control,control,21
#97166,873,2101,control,control,16
#90931,958,2116,treated,control,17
#98882,332,1561,control,treated,20
#97251,598,1770,control,treated,17
#97168,537,1728,control,treated,20
#93825,945,2121,treated,control,19
#98491,496,1731,treated,control,16
#93131,882,2055,treated,treated,18
#95147,200,1363,control,treated,18
#98923,142,1381,treated,control,22
#93108,4,1180,control,treated,15
#90881,533,1753,control,treated,24
#92534,153,1343,control,control,15
#96292,1,1155,control,control,18
#92355,430,1626,control,treated,23
#92797,419,1613,control,treated,17
#91642,482,1684,control,treated,24
#95261,161,1341,control,control,18
#90282,347,1549,control,control,16
#94180,746,1899,treated,treated,22
#92479,640,1792,treated,control,22
#98491,562,1737,treated,treated,22
#95209,972,2183,treated,control,17
#96097,356,1537,treated,control,19
#97312,324,1527,treated,treated,19
#90529,375,1620,treated,control,18
#97914,380,1569,treated,control,21
#90137,682,1832,control,treated,16
#92321,231,1455,control,control,20
#92188,679,1837,control,treated,21
#94737,1093,2270,control,treated,24
#97942,967,2162,treated,control,19
#91287,783,2015,treated,treated,23
#98429,113,1281,control,treated,20
#96407,1012,2173,control,treated,21
#97657,207,1440,control,control,15
#91013,197,1383,treated,treated,18
#95198,994,2176,control,treated,23
#97365,977,2222,treated,control,19
#99211,41,1205,treated,treated,17
#97166,965,2154,control,treated,18
#91437,585,1757,control,control,20
#91608,766,1948,treated,treated,20
#96496,485,1730,control,control,15
#99984,226,1428,control,treated,18
#92415,421,1654,treated,treated,15
#91608,619,1800,treated,control,21
#90377,572,1725,treated,treated,20
#98470,233,1471,treated,treated,19
#93211,1082,2265,treated,control,18
#95184,242,1451,treated,treated,23
#97219,370,1533,control,control,18
#94603,833,2042,control,control,19
#94853,739,1898,control,treated,22
#97650,22,1226,treated,control,21
#95456,1083,2288,control,treated,18
#97517,207,1364,treated,treated,15
#99467,200,1393,control,control,23
#94972,806,2010,treated,treated,24
#90703,395,1609,control,control,16
#95055,32,1246,treated,treated,19
#97060,856,2016,control,treated,21
#95273,156,1405,treated,treated,21
#95463,1059,2245,treated,treated,15
#93006,451,1610,treated,control,18
#93460,199,1424,control,control,16
#91726,916,2091,control,control,22
#93906,42,1210,control,control,19
#95932,957,2164,control,treated,23
#95710,332,1505,control,control,19
#96511,195,1372,control,treated,21
#90365,436,1631,treated,control,18
#91229,556,1728,control,control,23
#96936,13,1260,treated,treated,19
#96672,730,1968,control,treated,21
#98390,43,1207,treated,control,18
#91426,295,1471,treated,treated,15
#91339,663,1908,treated,control,17
#90125,555,1750,treated,control,17
#91943,960,2180,control,treated,20
#94065,145,1340,control,treated,18
#95127,1088,2255,treated,control,23
#95749,506,1744,treated,control,23
#96480,502,1673,treated,treated,15
#99253,218,1406,treated,control,21
#95046,472,1631,control,treated,16
#93154,473,1680,treated,control,23
#97056,117,1310,control,control,21
#96684,1008,2256,control,treated,16
#96328,488,1658,control,control,16
#95582,679,1845,control,control,19
#99065,866,2053,treated,treated,17
#96048,717,1941,control,treated,22
#94703,660,1903,control,control,22
#94695,298,1471,control,control,21
#95010,735,1902,control,control,18
#90809,1067,2305,control,treated,19
#92312,653,1804,control,control,23
#99442,47,1228,treated,treated,16
#94242,322,1482,treated,treated,22
#96974,181,1416,treated,treated,20
#92109,86,1257,control,treated,20
#92363,272,1445,treated,treated,17
#97153,217,1431,treated,control,20
#94470,596,1823,treated,treated,15
#98664,2,1153,control,treated,15
#99396,996,2160,treated,control,19
#91257,973,2154,treated,control,15
#95809,159,1375,control,treated,15
#90380,948,2170,control,control,15
#96675,558,1741,control,treated,16
#91015,836,2075,control,control,16
#96769,975,2197,treated,treated,24
#96089,909,2105,treated,control,18
#97319,587,1836,treated,treated,19
#94277,280,1433,treated,treated,23
