Specimen.ID,born,died,treatment,diet,weight
#94273,501,1662,control,control,22
#95882,1003,2185,treated,treated,18
#96134,319,1516,control,treated,23
#99579,599,1819,control,treated,20
#96474,765,1935,control,treated,23
#99781,601,1753,control,control,16
#91112,633,1823,control,control,24
#99537,86,1237,treated,treated,18
#95666,960,2192,control,control,15
#92584,184,1401,treated,control,17
#94241,364,1524,control,control,16
#97682,1068,2275,control,control,22
#94158,954,2141,treated,treated,18
#96429,429,1658,treated,treated,16
#91948,901,2139,treated,control,18
#96163,545,1769,treated,control,16
#95148,800,1989,treated,control,19
#97226,471,1674,treated,control,15
#90138,467,1651,control,control,16
#96791,394,1559,control,treated,15
#99738,1033,2273,treated,control,17
#91557,943,2155,control,treated,17
#90498,416,1575,treated,treated,23
#92559,456,1680,control,treated,22
#90587,1059,2263,treated,treated,24
#91431,293,1520,treated,treated,19
#99810,546,1712,treated,control,19
#90838,144,1320,treated,control,20
#98576,511,1755,control,control,23
#97407,505,1727,control,control,21
#96754,736,1970,control,control,23
#98301,529,1697,treated,control,18
#91684,636,1822,control,control,16
#98466,906,2078,treated,control,18
#94774,350,1515,treated,treated,16
#95738,496,1735,control,treated,21
#98209,821,2007,control,control,20
#91860,287,1513,treated,treated,15
#98275,647,1810,control,control,15
#97682,888,2133,treated,control,23
#99266,299,1488,control,control,20
#97832,658,1880,control,treated,24
#98804,815,1985,control,control,24
#97988,391,1576,control,treated,22
#98567,749,1965,treated,control,22
#97190,471,1657,treated,treated,17
#93048,217,1386,treated,control,24
#97768,326,1556,treated,control,16
#95910,996,2227,control,control,24
#94863,242,1449,control,treated,17
#92048,868,2058,control,treated,15
#91346,693,1925,treated,control,22
#90919,256,1463,treated,control,15
#90190,505,1721,treated,control,18
#95370,512,1749,control,control,17
#94696,779,1981,treated,treated,24
#98320,686,1933,control,treated,15
#97010,43,1233,control,control,24
#93642,331,1525,control,treated,17
#98977,81,1261,treated,control,19
#90739,474,1638,control,treated,16
#90979,156,1401,control,treated,18
#93131,711,1920,control,treated,20
#99866,71,1300,treated,control,24
#96860,869,2097,control,control,23
#94740,398,1553,control,treated,19
#97958,625,1868,control,control,15
#98030,425,1630,treated,treated,19
#92860,316,1487,control,control,20
#98098,1044,2241,control,treated,22
#92132,811,2047,control,treated,20
#98179,481,1649,control,control,19
#93631,496,1725,treated,treated,22
#91280,240,1402,control,control,20
#91678,20,1246,control,control,23
#94604,876,2055,control,control,19
#94758,501,1710,control,treated,16
#90369,1000,2232,control,control,20
#96335,441,1634,treated,treated,16
#95193,744,1950,treated,control,20
#99557,535,1717,treated,control,16
#90291,427,1606,control,control,17
#91002,534,1709,control,treated,15
#93531,836,2075,control,control,17
#99237,410,1574,control,treated,15
#95518,958,2147,treated,treated,15
#92577,37,1256,treated,treated,21
#92994,1021,2229,treated,control,19
#99885,857,2022,treated,control,20
#96228,655,1872,control,control,21
#99676,209,1457,treated,control,21
#97254,520,1679,treated,control,17
#93807,566,1777,treated,treated,15
#92700,717,1867,control,treated,23
#99231,392,1564,control,control,24
#91850,622,1778,treated,control,17
#94333,508,1693,control,control,24
#95558,969,2149,control,treated,18
#99816,838,2053,treated,control,24
#95746,655,1870,control,control,22
#95220,431,1647,control,control,17
#94289,1047,2219,treated,treated,16
#96476,920,2116,treated,control,15
#91308,84,1252,control,treated,20
#96732,471,1659,treated,treated,17
#91589,542,1710,control,treated,16
#91835,970,2172,control,treated,18
#95717,850,2007,control,control,23
#97006,181,1402,control,control,20
#90634,965,2202,control,treated,22
#92321,85,1284,control,control,18
#98003,61,1262,treated,treated,15
#90632,706,1934,treated,control,23
#90161,731,1885,control,treated,16
#97681,833,2002,control,treated,16
#96867,384,1536,treated,treated,19
#98247,608,1807,control,treated,21
#92610,999,2183,treated,treated,17
#99982,158,1382,treated,control,15
#93252,338,1581,control,control,17
#96936,640,1847,treated,control,22
#90957,860,2075,control,treated,17
#91780,780,1968,control,treated,24
#95030,928,2155,treated,control,24
