Specimen.ID,born,died,treatment,diet,weight
#91624,1016,2207,control,treated,21
#93708,718,1967,treated,treated,21
#99716,1087,2280,control,control,23
#99966,402,1615,control,control,17
#95089,960,2174,control,control,24
#96967,323,1572,control,control,20
#94776,828,2001,treated,control,24
#93306,794,1974,control,control,16
#97321,138,1370,treated,control,18
#90631,920,2140,treated,treated,23
#91532,282,1438,control,control,18
#99676,685,1894,control,treated,21
#90402,755,1941,treated,treated,24
#94668,2,1208,treated,treated,15
#98678,40,1225,treated,control,21
#91127,921,2167,treated,treated,15
#94621,954,2198,control,control,17
#90130,143,1302,control,control,18
#96408,94,1297,control,control,18
#94307,411,1575,control,treated,21
#95395,996,2161,control,treated,22
#92173,337,1529,treated,treated,22
#98323,238,1444,treated,control,23
#97463,604,1817,control,treated,19
#90663,732,1934,treated,treated,20
#90516,83,1234,treated,control,16
#98575,627,1837,control,control,21
#92871,405,1585,control,control,21
#91343,1045,2269,treated,treated,20
#95070,187,1394,control,treated,17
#93710,701,1870,control,treated,17
#92038,588,1814,control,control,15
#98118,217,1406,control,control,18
#90882,407,1583,treated,treated,22
#96881,289,1502,control,control,19
#92183,992,2158,control,control,16
#93705,461,1701,control,treated,22
#92637,642,1862,control,treated,17
#91326,16,1171,control,control,24
#91851,902,2138,treated,treated,20
#91841,255,1414,treated,treated,20
#97035,86,1262,treated,control,19
#98342,862,2078,control,treated,17
#96271,186,1429,treated,control,19
#91362,438,1596,treated,control,17
#94666,651,1879,treated,treated,19
#98528,859,2034,control,control,24
#90640,482,1688,treated,treated,18
#98685,943,2123,control,control,15
#95010,408,1592,control,control,23
#90913,947,2147,control,treated,22
#96739,588,1806,treated,control,21
#91234,324,1533,treated,control,19
#93341,601,1793,treated,control,22
#98448,911,2148,control,control,16
#90649,279,1461,treated,treated,24
#92630,1085,2244,treated,treated,19
#95629,53,1262,control,treated,21
#99182,610,1847,treated,treated,21
#96186,361,1603,control,treated,21
#99849,776,2002,treated,treated,17
#94145,631,1846,treated,control,23
#90584,993,2188,control,control,23
#96712,718,1938,treated,treated,19
#98830,595,1774,control,control,20
#92961,947,2105,treated,control,21
#96550,721,1895,treated,treated,18
#92200,309,1475,control,control,23
#93963,1035,2250,treated,control,20
#96483,644,1803,treated,treated,21
#91548,576,1772,control,treated,18
#98359,856,2095,control,treated,24
#92835,232,1402,treated,control,17
#93603,787,2030,control,treated,22
#99525,285,1506,treated,treated,18
#90573,918,2099,control,control,16
#90627,502,1693,treated,control,19
#90861,52,1211,control,treated,19
#91636,632,1873,treated,control,18
#90492,1044,2219,control,treated,18
#95243,298,1511,treated,treated,15
#99625,297,1509,treated,control,17
#97285,452,1688,treated,treated,19
#98628,893,2113,control,treated,15
#93390,134,1373,treated,control,23
#94970,913,2138,control,control,21
#93458,94,1270,control,control,21
#91437,995,2205,control,treated,17
#96624,652,1882,treated,control,21
#97896,485,1679,control,control,18
#93833,427,1580,control,control,20
