Specimen.ID,born,died,treatment,diet,weight
#90932,316,1472,treated,treated,15
#95285,1071,2293,control,treated,23
#96975,925,2149,control,control,19
#97212,189,1399,control,treated,24
#98880,274,1468,treated,treated,21
#99130,77,1278,control,control,21
#97402,84,1301,control,control,24
#97424,171,1386,treated,treated,15
#98511,7,1168,control,control,19
#99105,456,1695,treated,control,15
#92316,565,1739,control,treated,19
#97357,230,1410,treated,control,19
#96465,261,1420,control,control,21
#98737,613,1771,control,treated,24
#94130,601,1760,control,control,24
#93086,315,1468,treated,treated,19
#93899,1052,2279,control,control,21
#94215,77,1298,treated,control,18
#95066,197,1364,control,control,23
#90613,644,1875,treated,treated,18
#90160,52,1232,treated,control,23
#98674,98,1264,control,control,20
#95231,723,1902,treated,control,24
#98415,839,1993,control,control,15
#92166,499,1657,control,treated,22
#92096,789,1960,control,control,17
#92447,866,2030,control,treated,22
#96438,303,1542,control,treated,23
#98451,133,1294,treated,control,20
#92954,1044,2229,control,control,17
#92748,775,2015,treated,control,16
#92894,384,1590,control,treated,15
#93649,349,1506,treated,control,23
#90186,431,1581,control,treated,24
#92060,509,1684,treated,control,16
#90828,470,1688,treated,treated,24
#94884,1011,2227,treated,control,15
#90460,441,1661,treated,treated,24
#90463,62,1229,treated,control,17
#90551,846,2003,treated,treated,20
#93226,430,1628,control,control,22
#99668,30,1191,control,control,24
#99372,987,2181,treated,treated,17
#94453,50,1263,control,treated,16
#99661,637,1878,control,control,22
#97892,206,1402,treated,treated,20
#99117,39,1233,control,treated,18
#92808,699,1850,control,treated,17
#96382,609,1848,treated,treated,18
#98854,384,1580,treated,treated,22
#90838,1027,2191,control,treated,16
#91834,481,1687,control,control,18
#91303,1029,2266,treated,control,15
#92508,348,1527,treated,treated,21
#92668,94,1305,treated,treated,16
#94699,92,1323,treated,treated,18
#92553,872,2032,treated,control,21
#93440,436,1653,control,treated,19
#91097,1012,2248,control,treated,24
#97248,81,1239,treated,control,18
#98292,1035,2238,control,control,24
#91449,388,1547,control,treated,17
#95126,578,1763,control,treated,23
#93710,124,1338,treated,treated,15
#96304,422,1596,treated,control,19
#90216,810,1966,control,treated,18
#93612,687,1921,treated,treated,15
#95081,23,1204,control,control,23
#96846,330,1489,treated,treated,23
#93331,1012,2228,treated,treated,22
#96848,626,1841,control,control,23
#95908,99,1318,treated,control,22
#90861,567,1736,control,treated,16
#96712,297,1509,treated,control,18
#90701,313,1476,control,control,15
#93634,590,1796,treated,treated,20
#95677,1021,2181,treated,treated,20
#96414,1057,2212,control,treated,23
#94251,269,1495,control,control,20
#92089,239,1457,control,treated,23
#97294,400,1633,treated,control,23
#93805,751,1976,control,control,15
#91279,755,1906,treated,control,18
#99846,149,1383,treated,treated,21
#96414,1070,2262,control,treated,18
#97838,433,1613,treated,control,16
#93274,216,1393,control,treated,18
#94465,324,1549,treated,treated,17
#95077,554,1730,treated,treated,18
#90774,384,1587,treated,control,17
#98988,300,1507,control,control,16
#92022,161,1357,control,treated,18
#90332,473,1700,treated,control,20
#94791,1052,2231,treated,control,17
#91587,936,2146,control,treated,19
#90677,658,1817,treated,control,22
#92976,328,1487,treated,control,24
#90556,136,1293,treated,treated,19
#93657,731,1910,treated,treated,20
#94661,489,1660,treated,treated,20
#98233,1080,2305,treated,control,22
#92667,142,1311,control,control,18
#90369,121,1301,control,control,22
#91692,715,1945,control,treated,19
#96379,864,2042,control,control,18
#91707,524,1695,control,treated,16
#95272,877,2116,treated,treated,23
#91529,531,1700,treated,treated,15
#98943,474,1645,control,treated,17
#95742,357,1533,treated,control,17
#90315,92,1330,control,treated,21
#93037,360,1570,treated,control,18
#93988,1017,2223,treated,control,22
#96168,631,1827,treated,treated,17
#93985,30,1223,control,treated,24
#92276,479,1656,treated,treated,20
#95129,53,1235,treated,control,16
#91035,963,2115,control,control,18
#98396,550,1769,control,treated,21
#94872,168,1386,control,control,17
#98998,12,1253,control,control,19
#96095,612,1847,control,control,18
#91621,255,1474,treated,control,23
#94791,368,1543,control,treated,16
#95484,850,2062,treated,control,22
#97125,267,1497,control,control,15
#97416,482,1703,treated,control,17
#96344,793,2004,control,control,19
#92339,999,2214,treated,treated,21
#90437,1029,2231,treated,control,20
#99366,1071,2235,treated,treated,18
#98008,929,2108,treated,treated,20
#95765,890,2102,treated,control,22
#97697,439,1605,treated,control,20
#94786,330,1574,control,treated,20
#91279,807,2016,treated,control,20
#96163,209,1443,treated,treated,23
#99363,1036,2236,treated,treated,24
#93758,78,1251,treated,treated,24
#91146,40,1271,treated,control,16
#99677,233,1446,treated,control,17
#95446,203,1449,treated,treated,20
#96821,532,1693,treated,treated,16
#90677,950,2106,control,control,15
#94083,333,1517,treated,control,18
#99505,62,1227,control,treated,22
#96776,263,1507,treated,control,21
#93269,774,1994,control,treated,16
#95474,922,2136,treated,treated,24
#93082,1031,2203,control,control,15
#96293,580,1796,control,treated,22
#96229,1073,2273,treated,control,17
#90051,844,2045,control,treated,19
#93540,139,1301,control,treated,24
#96173,798,2045,control,control,22
#99425,779,1998,treated,control,23
#97494,1094,2248,control,treated,24
#91384,1094,2340,control,treated,18
#90261,599,1780,treated,treated,19
#95060,757,1979,control,control,20
#91625,331,1494,treated,treated,20
#95314,268,1446,treated,control,20
#95709,587,1817,control,control,18
#92497,84,1288,treated,treated,24
#95124,935,2104,control,treated,16
#99826,247,1435,control,control,21
#90879,150,1314,control,control,21
#96984,489,1661,control,treated,23
#91618,769,1997,treated,treated,19
#92880,783,2007,treated,control,19
#92737,245,1478,control,treated,21
#94569,12,1191,treated,control,22
#91896,517,1714,control,control,20
#91962,869,2032,treated,treated,18
#99593,62,1310,control,treated,19
#94633,450,1639,control,treated,24
#91722,639,1887,control,control,23
#97346,4,1225,treated,treated,17
#90018,1060,2294,control,treated,24
#97997,563,1750,control,control,20
#99754,1003,2180,treated,control,20
#90753,831,1986,treated,treated,15
#98873,121,1359,treated,treated,23
#94891,394,1633,treated,control,18
#92102,746,1942,control,control,22
#96228,857,2013,treated,control,24
#95710,847,2020,control,treated,17
#91748,943,2184,control,treated,22
#98784,882,2043,treated,treated,15
#98673,573,1788,control,control,22
#97930,743,1963,treated,treated,20
#94785,625,1783,control,treated,21
#92552,670,1895,control,treated,15
#90557,921,2100,treated,treated,19
#96344,491,1676,control,control,19
#94262,599,1755,control,treated,17
#91275,1034,2205,treated,control,15
#91413,455,1615,treated,treated,15
#97604,475,1630,treated,treated,22
#99338,198,1414,control,treated,20
#96488,92,1271,control,treated,21
#91641,1091,2299,control,control,15
#98868,916,2099,treated,control,15
#99206,798,2024,treated,control,19
#90924,59,1276,control,control,17
#95624,308,1529,control,treated,17
#94968,729,1883,treated,control,22
#93988,1023,2188,treated,control,15
#92430,796,1988,control,treated,22
#96288,740,1956,control,treated,24
#99057,17,1180,control,treated,20
#99926,1017,2242,treated,control,18
#92186,664,1897,control,control,23
#92486,732,1931,control,treated,21
#94904,1067,2235,treated,treated,19
#98387,59,1224,treated,treated,18
#96523,176,1401,control,treated,18
#95392,911,2088,treated,control,21
#95902,1035,2246,treated,treated,22
#93724,116,1360,control,control,15
#90725,823,2007,treated,control,21
#98615,330,1488,control,control,20
#95173,1077,2286,control,treated,20
#95183,1047,2288,control,treated,23
#94208,408,1584,control,control,17
#98726,963,2154,treated,control,16
#98512,842,2021,treated,treated,23
#94699,367,1566,treated,treated,19
#93463,693,1924,treated,control,18
#92202,1069,2286,control,control,19
#94564,191,1393,control,treated,19
#93606,942,2102,treated,control,17
#98099,792,2017,treated,control,15
#93024,822,2035,treated,treated,17
#93769,675,1895,control,control,18
#95270,244,1403,treated,control,17
#97235,874,2063,control,control,21
#90807,202,1443,treated,control,17
#94011,1060,2302,control,control,22
#99194,671,1882,treated,treated,16
#93760,812,1991,control,control,22
#93748,981,2131,control,control,18
#97802,151,1336,treated,control,22
#95651,46,1205,treated,control,15
#97586,286,1510,control,control,22
#97742,833,2024,treated,control,18
#96567,291,1534,control,treated,20
#92215,630,1819,treated,control,17
#97476,461,1643,treated,control,15
#92286,1045,2287,control,treated,18
#98895,271,1495,control,control,23
#91020,761,1938,control,treated,19
#90418,350,1520,treated,control,20
#94864,769,1921,control,control,21
#98789,246,1483,treated,control,19
#92340,573,1804,control,control,18
#94739,957,2174,treated,control,21
#93662,455,1694,treated,control,20
#98035,407,1583,treated,control,16
#90369,1019,2189,control,control,17
#94672,1071,2256,treated,control,24
#99431,922,2121,treated,treated,22
#94276,425,1615,treated,treated,20
#90731,262,1476,control,control,22
#90313,1017,2238,treated,treated,17
#94707,309,1498,control,control,21
#91445,446,1644,treated,treated,21
