Specimen.ID,born,died,treatment,diet,weight
#94528,478,1705,treated,control,22
#96855,346,1546,treated,treated,23
#94286,152,1366,treated,treated,18
#90154,864,2030,treated,treated,21
#92547,993,2212,treated,treated,17
#98090,839,2065,control,treated,23
#97887,410,1588,treated,control,22
#92065,206,1390,control,treated,17
#90218,735,1892,treated,treated,24
#92133,1006,2168,treated,control,22
#97052,121,1291,control,control,24
#94335,473,1663,control,treated,16
#96857,197,1389,control,treated,20
#92626,338,1581,control,treated,22
#96241,719,1963,treated,treated,22
#94388,765,2003,treated,control,20
#90891,909,2073,control,control,22
#98393,1015,2177,control,control,24
#96131,219,1404,treated,treated,22
#90249,348,1573,treated,treated,16
#92759,329,1500,control,control,20
#96566,302,1513,control,control,23
#91829,1027,2264,treated,treated,23
#91734,351,1581,treated,treated,15
#98513,337,1497,control,control,17
#94997,893,2129,control,control,23
#91723,433,1676,treated,control,24
#95277,161,1368,treated,treated,17
#92066,824,2034,treated,control,22
#97940,351,1503,control,control,20
#97903,1034,2208,treated,control,15
#91518,434,1599,control,treated,15
#92423,671,1845,control,treated,15
#97095,175,1401,treated,treated,17
#97395,460,1676,treated,control,18
#92673,307,1550,control,control,17
#98479,178,1345,control,control,15
#95776,44,1242,treated,control,18
#94380,996,2168,control,treated,17
#96919,609,1799,treated,treated,22
#94069,230,1399,control,treated,18
#99389,396,1561,treated,treated,18
#90784,326,1536,control,treated,15
#95253,570,1753,control,control,19
#94247,588,1804,treated,treated,23
#99125,323,1508,treated,treated,16
#96194,404,1649,control,control,21
#92094,212,1444,control,control,20
#96580,838,2046,control,treated,21
#91288,231,1382,control,treated,20
#96025,614,1848,control,control,22
#96260,122,1286,treated,control,24
#94802,34,1243,control,control,16
#99592,420,1657,treated,treated,17
#91672,975,2138,control,treated,20
#99430,418,1660,treated,treated,20
#91207,559,1736,treated,treated,19
#96043,539,1728,treated,control,19
#98604,225,1433,control,control,19
#90383,590,1803,treated,control,24
#95255,553,1723,control,treated,18
#94620,331,1577,treated,treated,18
#94860,316,1505,treated,treated,22
#93472,455,1629,control,control,16
#96290,862,2034,control,treated,19
#90551,524,1731,control,treated,17
#95612,531,1771,treated,treated,18
#91657,646,1813,treated,treated,21
#98482,967,2151,treated,control,18
#91620,488,1688,control,control,23
#98126,128,1286,control,treated,19
#94241,861,2073,control,control,18
#96539,221,1410,control,control,19
#95788,69,1231,control,treated,24
#93534,524,1735,treated,control,17
#94736,949,2111,control,treated,18
#93737,145,1348,control,treated,24
#93557,408,1577,control,control,18
#97877,509,1705,control,control,21
#93798,1084,2262,treated,control,15
#92059,754,1995,control,control,22
#96254,264,1501,treated,control,19
#95543,65,1307,control,control,24
#94021,120,1295,treated,control,16
#95204,210,1453,control,control,16
#95382,403,1620,treated,treated,21
#95748,680,1917,treated,treated,18
#98103,390,1590,control,treated,22
#94824,930,2080,treated,control,21
#95006,1052,2291,treated,treated,16
#99342,955,2173,treated,control,16
#90985,600,1821,treated,control,15
#91711,18,1244,treated,treated,22
#98364,999,2163,control,control,19
#98323,95,1337,treated,control,18
#98989,696,1899,control,control,23
#97395,852,2043,control,control,18
#97174,1025,2190,treated,treated,19
#93843,953,2189,control,control,16
#94761,865,2096,control,control,16
#90303,1078,2261,treated,control,18
#92204,644,1883,treated,control,15
#94489,525,1748,treated,control,22
