Specimen.ID,born,died,treatment,diet,weight
#91856,668,1884,treated,control,15
#93160,706,1867,control,treated,23
#99186,569,1775,control,treated,21
#98561,974,2144,treated,control,17
#90025,41,1207,treated,control,23
#97084,374,1620,treated,control,16
#90781,393,1584,treated,control,22
#98698,477,1661,control,control,16
#94683,222,1406,control,control,19
#98391,780,2027,control,treated,21
#97734,721,1888,treated,control,16
#99135,196,1440,treated,control,24
#95514,82,1318,treated,control,15
#99411,948,2189,control,control,23
#96368,856,2102,treated,treated,22
#97732,728,1946,control,treated,18
#99479,700,1885,control,treated,23
#95779,412,1585,treated,treated,17
#98540,971,2210,control,control,15
#95541,618,1779,treated,treated,21
#97861,351,1589,treated,control,19
#91449,539,1692,control,treated,18
#94674,172,1419,treated,control,18
#92308,0,1193,control,control,19
#96663,960,2159,control,treated,15
#93238,556,1758,treated,treated,18
#94891,66,1294,treated,treated,21
#93911,515,1675,treated,control,16
#93933,681,1930,control,treated,24
#95782,1002,2250,control,control,20
#96880,296,1457,control,control,24
#93755,859,2016,treated,control,21
#97813,899,2100,control,treated,24
#99722,980,2191,treated,control,22
#97872,403,1598,control,control,15
#99623,74,1277,treated,control,17
#94492,364,1533,treated,treated,20
#94462,0,1167,control,control,15
#94242,538,1691,treated,treated,17
#95204,360,1528,treated,control,20
#95721,344,1536,control,control,19
#98621,587,1752,control,control,19
#92912,7,1223,treated,treated,24
#94462,1024,2222,treated,control,17
#95809,157,1355,treated,control,16
#97252,343,1520,control,control,20
#95251,960,2125,treated,control,24
#93503,440,1631,control,treated,19
#95651,269,1429,control,treated,23
#94684,420,1615,control,control,20
#97707,426,1653,control,control,17
#91024,256,1412,treated,control,20
#98917,744,1908,treated,control,18
#91461,378,1606,control,control,22
#98874,270,1447,treated,control,23
#97863,841,1996,treated,treated,19
#99698,795,1997,control,treated,21
#92929,1,1152,treated,treated,17
#91972,97,1323,treated,treated,19
#95865,601,1836,treated,treated,20
#92388,770,1941,treated,treated,22
#96357,0,1163,treated,control,19
#93799,583,1785,treated,control,21
#96948,245,1477,treated,treated,22
#91358,538,1727,treated,control,22
#96267,332,1532,control,control,24
#91750,18,1183,treated,control,19
#92193,92,1339,treated,treated,17
#99961,631,1801,treated,control,15
#95880,312,1515,control,treated,19
#94967,485,1722,treated,treated,16
#95853,549,1798,treated,treated,20
#95644,655,1811,treated,treated,21
#98027,1085,2256,treated,control,22
#90182,845,1998,treated,control,17
#96949,373,1551,treated,treated,20
#96626,882,2093,treated,treated,19
#95197,744,1990,control,treated,16
#92148,1054,2260,control,treated,23
#92068,407,1641,treated,control,23
#99721,448,1619,control,control,21
#97186,1003,2204,treated,control,17
#90223,804,2012,treated,control,24
#97166,767,1934,treated,control,23
#98208,960,2124,control,control,15
#90928,930,2092,treated,control,17
#94941,698,1935,treated,treated,16
#97841,599,1752,treated,treated,17
#91097,428,1661,treated,control,15
#99568,634,1854,treated,treated,23
#98510,119,1348,control,treated,23
#90409,501,1692,control,control,18
#96216,674,1915,control,control,22
