Specimen.ID,born,died,treatment,diet,weight
#97734,659,1908,control,control,22
#95240,913,2092,control,control,23
#96194,172,1354,control,control,24
#98498,392,1560,control,control,20
#96145,538,1786,control,control,22
#98409,1076,2249,control,control,23
#91684,329,1556,control,treated,21
#98057,229,1433,control,treated,17
#94289,1020,2241,treated,treated,17
#90828,964,2139,control,treated,17
#90897,510,1750,control,treated,24
#97989,578,1746,control,control,17
#98687,328,1489,control,treated,15
#96612,190,1381,treated,control,19
#99208,221,1395,control,treated,21
#98080,739,1944,treated,control,19
#92148,803,1979,treated,control,18
#90263,49,1200,control,treated,23
#99314,273,1472,treated,control,21
#93505,1071,2252,treated,treated,22
#90175,1053,2244,control,treated,24
#91635,635,1830,treated,treated,17
#98811,561,1759,treated,treated,24
#92944,746,1952,control,control,20
#97670,540,1766,treated,control,15
#92797,91,1244,control,treated,17
#95705,151,1311,control,treated,18
#96497,118,1361,control,treated,21
#98606,366,1597,treated,control,17
#94422,778,2008,treated,treated,23
#96600,158,1349,control,treated,15
#92398,363,1558,control,treated,16
#94232,680,1888,treated,treated,16
#93886,563,1776,control,treated,18
#97317,502,1683,treated,control,17
#94184,479,1630,control,control,21
#96946,612,1806,control,treated,16
#90090,557,1764,treated,treated,15
#96538,247,1465,control,treated,19
#90823,648,1890,treated,treated,15
#90813,142,1302,treated,control,15
#99337,733,1958,treated,treated,21
#97044,320,1539,treated,treated,17
#96768,716,1923,treated,treated,18
#94841,474,1720,control,treated,18
#95374,340,1588,treated,treated,22
#99918,1004,2197,treated,control,18
#97043,103,1342,treated,treated,15
#90855,843,2063,treated,control,21
#95715,194,1348,control,treated,22
#91165,106,1277,treated,control,22
#92357,150,1350,control,treated,18
#97412,492,1690,treated,control,17
#95001,42,1198,treated,control,16
#97906,683,1911,treated,control,16
#95277,994,2179,control,control,23
#96036,766,1975,treated,treated,15
#98955,646,1867,treated,treated,23
#99551,958,2132,treated,control,23
#98857,410,1614,control,treated,23
#94322,732,1884,control,control,19
#91778,420,1649,control,treated,24
#91713,130,1328,control,treated,20
#94822,554,1754,control,control,15
#90778,203,1400,treated,control,16
#94085,124,1351,control,treated,15
#95230,79,1274,treated,control,18
#99159,708,1921,control,treated,20
#90138,94,1260,control,control,23
#93493,104,1321,control,control,20
#95342,755,1954,control,treated,20
#96714,396,1591,treated,control,21
#96703,894,2096,control,control,19
#92655,210,1386,control,treated,19
#92421,785,1951,control,treated,20
#92551,633,1808,control,control,24
#94964,872,2055,control,treated,21
#97857,799,2005,treated,control,24
#92307,134,1309,control,control,24
#98087,184,1420,treated,treated,16
#96348,264,1473,treated,control,24
#90165,797,2022,control,treated,15
#91749,820,2022,control,treated,15
#91758,592,1747,control,control,24
#95481,102,1314,treated,treated,20
#95577,837,2037,control,treated,18
#93477,962,2176,control,control,20
#99909,1077,2325,treated,control,15
#95369,82,1233,treated,control,22
#91809,793,1988,treated,treated,24
#98182,152,1383,treated,treated,24
#90030,415,1610,treated,control,16
#99398,727,1965,control,control,20
#96692,173,1359,control,treated,19
#94826,68,1260,control,control,23
#99867,125,1360,treated,control,23
#97938,348,1547,treated,treated,19
#96825,317,1524,control,control,22
#97533,448,1669,treated,treated,22
#96420,780,1999,treated,control,16
#92292,532,1705,treated,control,15
#93711,444,1693,treated,control,24
#98326,686,1926,control,control,15
#98958,989,2229,treated,treated,21
#94313,398,1614,treated,control,24
#93158,552,1703,treated,treated,24
#99729,234,1415,control,treated,21
#93129,1074,2317,control,control,17
#90973,1047,2232,control,treated,16
#97832,933,2151,control,control,18
#99242,994,2203,treated,treated,16
#98516,833,2065,control,control,22
#98428,970,2206,treated,treated,24
#93499,1081,2252,control,control,24
#91654,311,1512,treated,control,18
#99481,674,1910,treated,control,24
#91083,85,1274,control,control,23
#93946,333,1501,treated,treated,24
#93342,550,1795,control,control,22
#99302,193,1391,treated,treated,23
#94298,347,1508,control,control,21
#90138,777,1999,treated,control,18
#95538,513,1710,control,treated,15
#92691,642,1853,treated,control,19
#90133,557,1797,treated,control,20
#93303,482,1653,treated,treated,15
#97883,101,1270,control,control,19
#91108,860,2058,treated,control,19
#90009,230,1456,control,treated,21
#95636,1017,2201,treated,control,19
#97101,188,1427,treated,treated,19
#95150,494,1659,treated,treated,16
#94170,855,2031,control,control,19
#97810,403,1625,treated,control,21
#93512,927,2136,treated,control,17
#94928,869,2054,treated,treated,15
#94380,388,1636,treated,control,20
#95803,404,1613,treated,treated,21
#98776,176,1415,control,control,23
#94055,3,1220,treated,control,23
#96167,95,1317,control,control,20
#91683,505,1660,control,control,16
#91700,319,1555,treated,treated,24
#99916,885,2053,treated,control,22
#91499,1053,2217,control,treated,18
#92932,862,2065,treated,control,17
#93828,978,2181,treated,control,21
#99472,353,1552,treated,treated,21
#91283,525,1722,control,control,22
#95970,219,1428,control,control,15
#90086,540,1706,treated,treated,16
#93425,283,1459,control,control,19
#90111,54,1296,treated,control,15
#98763,715,1923,treated,control,15
#92188,978,2132,treated,control,20
#92802,131,1369,treated,treated,22
#92599,1055,2216,treated,control,21
#93202,97,1298,treated,treated,24
#93424,582,1801,treated,control,17
#98837,348,1512,treated,treated,21
#90058,1025,2201,treated,control,17
#97142,1010,2191,control,control,20
#91467,1042,2246,control,treated,24
#98382,0,1167,treated,treated,16
#94856,367,1555,control,treated,20
#91185,821,1979,control,treated,16
#94454,798,1978,treated,control,20
#95694,61,1240,treated,control,15
#97397,239,1450,treated,control,19
#90923,1040,2251,treated,treated,16
#92531,643,1825,control,treated,23
#96375,822,1996,control,control,18
#90619,105,1326,control,control,22
#93755,728,1894,treated,control,15
#92068,271,1428,control,control,23
#90157,710,1871,control,treated,22
#94447,353,1528,treated,treated,15
#97592,75,1319,control,treated,22
#92099,1072,2289,treated,treated,18
#96609,572,1784,control,control,22
#94888,1006,2220,treated,treated,15
#90421,61,1305,treated,treated,19
#93972,1086,2287,control,treated,21
#90225,510,1711,control,treated,24
#97317,51,1287,treated,control,24
#91980,617,1820,treated,treated,18
#97020,561,1792,treated,control,23
